"wtw_category","importsequencenumber","wtw_skilllibraryid","wtw_skillname","statuscode","statecode","wtw_subcategory","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"894790000","","5e86df24-223a-f111-88b4-7c1e528d3128","HRDQs","1","0","Quality/Governance","","","3317214","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","ad4756b1-203a-f111-88b4-7c1e528d3128","Mid-Year Live Date","1","0","Conversion","","","3317189","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","8d733aa3-213a-f111-88b4-7c1e528d3128","TDS Billing Integration","1","0","Payroll","","","3317187","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790000","","ff7b1264-213a-f111-88b4-7c1e528d3128","Passthrough","1","0","Payroll","","","3317183","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790001","","a24f5f5a-21fe-446f-88d6-a60e3d2570a5","Fuse","1","0","","","","3317170","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790001","","bd6f3bab-ae1e-f111-88b2-7ced8d71427f","Test Only","1","0","","","","3317169","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790003","","26219a2f-d41d-f111-88b2-7ced8d71427f","Time Management","1","0","","","","3317168","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790003","","d2e21429-d41d-f111-88b2-7ced8d71427f","Problem Solving","1","0","","","","3317167","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790002","","45491a17-d41d-f111-88b2-7ced8d71427f","Power Platform","1","0","","","","3317166","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790002","","b9a4c40d-d41d-f111-88b2-7ced8d71427f","SQL","1","0","","","","3317165","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790002","","cdc39707-d41d-f111-88b2-7ced8d71427f","ReactJS","1","0","","","","3317164","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790001","","d56efef9-d31d-f111-88b2-7ced8d71427f","Project Eureka","1","0","","","","3317163","6e3aeb96-b40f-f111-8342-000d3a5aab88"
"894790001","","79ba08ed-d31d-f111-88b2-7ced8d71427f","Aura Tool","1","0","","","","3317162","6e3aeb96-b40f-f111-8342-000d3a5aab88"
